platform,platform_org_id,state,likely_school_district,include_in_rollout,notes
boarddocs,ny/barker,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/bathcsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/bcsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/berl,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/bethlehem,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/bgcsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/bing,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/brewster,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/brun,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/buffalo,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/carle,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/catskillcsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/ccsdny,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/cecsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/chateaugay,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/chathamcs,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/chesterufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/chufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/cmschools,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/commack,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/copenhagen,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/cornw,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/crboces,NY,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; BOCES regional agency (slug heuristic) - not a single K-12 district"
boarddocs,ny/dcboces,NY,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; BOCES regional agency (slug heuristic) - not a single K-12 district"
boarddocs,ny/dcmoboces,NY,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; BOCES regional agency (slug heuristic) - not a single K-12 district"
boarddocs,ny/ecsdm,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/egcsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/ehufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/elbacsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/emufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/ersd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/erufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/esboces,NY,False,False,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending; BOCES regional agency (slug heuristic) - not a single K-12 district"
boarddocs,ny/eufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/ewufsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/fairport,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/gardencity,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/gccsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/gcsny,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/genevacsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
boarddocs,ny/germantowncsd,NY,True,True,"validated live 2026-07-20 (HTTP 200, browser UA); name/county enrichment pending"
